,name,currency_code,local_price,dollar_ex,date
28,Argentina,ARS,2.5,1.0,2001-04-01
29,Australia,AUD,3.0,1.98,2001-04-01
1445,Austria,EUR,3.81,0.892339267,2019-07-09
1374,Azerbaijan,AZN,3.95,1.6965,2019-01-01
1952,Bahrain,BHD,1.7,0.377,2023-01-01
579,Belgium,EUR,3.7,0.788239467,2012-01-01
400,Brazil,BRL,8.03,1.9971,2009-07-01
175,Britain,GBP,1.88,0.546448087,2005-06-01
1306,Canada,CAD,6.65,1.31235,2018-07-01
281,Chile,CLP,1670.0,540.15,2007-01-01
1597,China,CNY,21.7,7.0035,2020-07-01
748,Colombia,COP,8600.0,1921.0,2013-07-01
1599,Costa Rica,CRC,2350.0,581.825,2020-07-01
2045,Croatia,EUR,4.09,0.90699,2023-07-01
1890,Czech Republic,CZK,95.0,23.92,2022-07-01
1530,Denmark,DKK,30.0,6.71935,2020-01-14
132,Egypt,EGP,10.0,6.19,2004-05-01
1533,Estonia,EUR,3.2,0.899159286,2020-01-14
1895,Euro area,EUR,4.65,0.975849999999997,2022-07-01
1607,Finland,EUR,4.88,0.879623521,2020-07-01
2039,France,EUR,5.3,0.90699,2023-07-01
1457,Germany,EUR,4.14,0.892339267,2019-07-09
760,Greece,EUR,2.6,0.777756173,2013-07-01
1755,Guatemala,GTQ,26.0,7.7448,2021-07-01
2044,Honduras,HNL,102.0,24.62,2023-07-01
331,Hong Kong,HKD,12.0,7.81555,2007-06-01
1266,Hungary,HUF,864.0,252.14215,2018-01-01
932,India,INR,116.25,61.615,2015-01-01
137,Indonesia,IDR,16100.0,9120.0,2004-05-01
1618,Ireland,EUR,4.3,0.879623521,2020-07-01
821,Israel,ILS,17.5,3.4882,2014-01-01
1548,Italy,EUR,4.3,0.899159286,2020-01-14
1406,Japan,JPY,390.0,108.44,2019-01-01
1980,Jordan,JOD,2.5,0.71005,2023-01-01
1696,Kuwait,KWD,1.15,0.3037,2021-01-01
1340,Latvia,EUR,2.7,0.853205921,2018-07-01
1914,Lebanon,LBP,130000.0,25600.0,2022-07-01
882,Lithuania,EUR,8.95,2.56455,2014-07-01
338,Malaysia,MYR,5.5,3.4345,2007-06-01
460,Mexico,MXN,32.0,12.81375,2010-01-01
1413,Moldova,MDL,40.0,17.263,2019-01-01
1221,Netherlands,EUR,3.61,0.875695083,2017-07-01
1994,New Zealand,NZD,7.5,1.53787004998078,2023-01-01
1849,Nicaragua,NIO,134.0,35.455,2022-01-01
1490,Norway,NOK,42.0,8.65275,2019-07-09
1348,Oman,OMR,1.05,0.385,2018-07-01
1224,Pakistan,PKR,375.0,105.15,2017-07-01
1001,Peru,PEN,10.0,3.1835,2015-07-01
1783,Philippines,PHP,142.0,50.35,2021-07-01
1171,Poland,PLN,9.6,4.17215,2017-01-01
1116,Portugal,EUR,3.05,0.908306463,2016-07-01
1714,Qatar,QAR,13.0,3.641,2021-01-01
1571,Romania,RON,9.5,4.2982,2020-01-14
1861,Russia,RUB,135.0,77.4175,2022-01-01
2075,Saudi Arabia,SAR,19.0,3.7516,2023-07-01
1502,Singapore,SGD,5.8,1.3613,2019-07-09
1864,Slovakia,EUR,3.8,0.89206066,2022-01-01
1504,Slovenia,EUR,2.4,0.892339267,2019-07-09
1513,South Africa,ZAR,31.0,14.175,2019-07-09
824,South Korea,KRW,3700.0,1067.3,2014-01-01
978,Spain,EUR,3.65,0.912700224,2015-07-01
418,Sri Lanka,LKR,210.0,114.86,2009-07-01
1361,Sweden,SEK,51.0,8.7526,2018-07-01
856,Switzerland,CHF,6.16,0.9024,2014-07-01
1652,Taiwan,TWD,72.0,29.4565,2020-07-01
153,Thailand,THB,59.0,40.8,2004-05-01
954,Turkey,TRY,9.25,2.33345,2015-01-01
357,UAE,AED,10.0,3.67285,2008-06-01
1365,Ukraine,UAH,50.0,26.199,2018-07-01
2017,United Arab Emirates,AED,18.0,3.67305,2023-07-01
272,United States,USD,2.78,1.0,2006-05-01
626,Uruguay,UYU,90.0,19.45,2012-01-01
1071,Venezuela,VEF,132.0,198.6986,2016-01-01
1072,Vietnam,VND,60000.0,22467.5,2016-01-01
